genes	logFC	logCPM	LR	PValue	FDR	
CCNJL	1.076409965	4.360632044	12.10784846	0.0005021	0.020314785	
LOC786796	1.709717792	4.501131133	12.09439616	0.000505736	0.020405039	
LOC104971894	2.226870327	-0.289439896	12.08845308	0.000507351	0.020413479	
MRPL34	-0.611789988	4.740177908	12.07783475	0.000510248	0.020454259	
VAT1L	1.177728166	5.146782737	12.07071247	0.000512201	0.020454259	
LOC617396	1.320582283	0.391997846	12.06930286	0.000512589	0.020454259	
LOC107131279	2.170444365	1.31541155	12.04356896	0.000519714	0.020681758	
KCNH2	1.846077704	1.63183969	12.03773642	0.000521342	0.020689887	
C1R	-1.993208765	5.578831335	11.97818771	0.000538269	0.021251167	
TBC1D9	-0.951731803	5.388812438	11.97769411	0.000538412	0.021251167	
LYSMD2	-0.671682801	3.419457144	11.93678711	0.000550363	0.021664021	
CFB	-1.809271673	1.954633525	11.9232013	0.000554391	0.021763604	
PRNP	-0.663888294	4.327319118	11.91741986	0.000556115	0.021772408	
CENPM	0.67812325	4.663359332	11.90359915	0.000560256	0.021875582	
DAAM1	-0.533701533	5.266365506	11.89536977	0.000562737	0.021913535	
OSCP1	1.49862614	2.474177984	11.88200903	0.000566788	0.022012277	
CKB	-1.013907546	5.677452102	11.87145797	0.000570008	0.022078299	
PLAUR	0.994726936	4.063607021	11.82437546	0.000584603	0.022583408	
NDUFAB1	-0.591884787	5.193011681	11.81170895	0.000588594	0.022677255	
EPHX2	-0.838327816	4.080130396	11.8059483	0.000590418	0.022687351	
DENND2A	-1.956617007	3.156976919	11.79899444	0.000592627	0.022712164	
C16H1orf115	-1.335969056	4.323125536	11.78905205	0.000595801	0.02276789	
MIR23A	1.665311927	0.183733317	11.78143427	0.000598244	0.02276789	
PXDN	1.931913494	0.795654694	11.7797547	0.000598784	0.02276789	
UCP2	0.653177081	9.05997392	11.76681046	0.000602962	0.022866904	
TBC1D16	1.12731594	1.430699101	11.749322	0.000608654	0.023022657	
BRB	1.723682011	3.70588072	11.73567096	0.000613135	0.023105677	
BAK1	-0.691059809	6.19675797	11.73295441	0.00061403	0.023105677	
SALL2	1.055419043	2.561041819	11.69955832	0.000625149	0.023463293	
LOC100847256	-1.573767614	1.889749692	11.67200966	0.000634474	0.023751908	
LOC101906545	-1.552606846	-0.142027324	11.6627558	0.000637638	0.023808983	
LETM1	-0.420839695	5.293157745	11.6429079	0.000644478	0.023992639	
KCNIP3	1.117169577	2.988216291	11.63892157	0.00064586	0.023992639	
MIPOL1	-1.598043704	0.084413071	11.63029837	0.000648861	0.024042634	
PREB	-0.466067001	5.955769477	11.61707826	0.00065349	0.024152516	
RASGRP4	0.605402541	6.271543253	11.60027409	0.000659421	0.024309873	
SHCBP1L	-1.537356333	0.651389433	11.58766839	0.000663906	0.024413252	
SH3RF3	1.471004332	0.468412244	11.48463332	0.00070174	0.025676516	
NOD1	-0.815953342	4.275720771	11.48448603	0.000701795	0.025676516	
LOC100847724	2.562119227	1.835375797	11.46660383	0.000708581	0.025859628	
LOC101905786	0.891224917	3.171049314	11.45063129	0.000714697	0.025996638	
LRRC57	0.565493053	4.526041786	11.44746938	0.000715914	0.025996638	
ADAM11	1.387298564	2.601548381	11.39160118	0.000737769	0.026723432	
SVIP	2.4287389	2.795301915	11.35831064	0.000751111	0.027073853	
LOC104973322	1.133852321	2.314133498	11.35816194	0.000751171	0.027073853	
NDUFA5	-0.720120361	4.55344328	11.35195933	0.000753684	0.027097184	
LOC101910184	1.492983401	0.418865474	11.34067617	0.000758277	0.027195	
MXD1	0.89682473	8.575966671	11.32712175	0.000763832	0.027326749	
LOC101905099	1.122880632	3.332424223	11.3201112	0.000766721	0.027362717	
RUVBL1	-0.495339179	5.729667258	11.29461656	0.000777322	0.027673028	
LOC507247	1.158882285	4.976465353	11.2743372	0.000785859	0.027908565	
PPP1R16A	1.312883029	1.195548064	11.22817368	0.000805649	0.028541585	
ANXA3	-0.751943348	7.863875211	11.20212506	0.000817037	0.028794901	
LOC104974259	1.369725331	0.775034167	11.19864166	0.000818572	0.028794901	
MRC2	1.583875982	0.38573209	11.19824665	0.000818747	0.028794901	
DHRS4	-0.748869534	4.422938631	11.18438172	0.000824887	0.028940796	
ADGRA1	1.680494636	0.397773604	11.17655665	0.000828374	0.028993078	
BCL2L15	-1.113392219	6.078961234	11.15328064	0.000838832	0.029238743	
LOC520518	-0.732323072	2.706679679	11.15198368	0.000839419	0.029238743	
HSPD1	-0.454257395	7.432725617	11.14283573	0.000843568	0.029258348	
DDB2	0.473300117	6.087683616	11.14186443	0.00084401	0.029258348	
ZSCAN30	1.104527436	1.468309229	11.13729438	0.000846092	0.029260686	
DCSTAMP	-1.778237308	3.555804581	11.11936466	0.00085431	0.029474726	
MME	-1.718983256	1.065379602	11.1144352	0.000856584	0.029483136	
EDNRB	2.29683969	-0.164047674	11.08017081	0.000872558	0.029961937	
CROT	-0.99004546	4.191722065	11.06966276	0.000877516	0.030061146	
CD300LB	-0.961211388	4.577198928	11.0403053	0.000891522	0.03039834	
RAB44	1.778000382	1.379646356	11.04025681	0.000891545	0.03039834	
IMPDH1	-0.59915005	5.090803975	11.00635834	0.000907999	0.030886308	
PIBF1	-0.678253458	3.989301404	11.00205458	0.000910109	0.030886308	
LOC100335514	4.04211665	-0.185285431	10.99188162	0.000915119	0.030941093	
AKAP7	-0.682156335	3.964375798	10.99012936	0.000915984	0.030941093	
ANKRD31	1.557660964	4.041024763	10.97097355	0.000925501	0.031190037	
GNG2	0.474908452	7.051614335	10.93211158	0.000945117	0.031777377	
ABHD3	-0.497359879	5.572098131	10.91906616	0.000951796	0.031886971	
AIF1	-1.121013226	7.237339148	10.91717606	0.000952767	0.031886971	
SRPK2	0.543496836	7.250427307	10.88873531	0.000967509	0.032241783	
WC1.3	0.925088297	8.180262444	10.88816156	0.000967808	0.032241783	
PRR5L	0.76255549	6.041932508	10.87994755	0.00097211	0.032310979	
ZFP1	0.657536723	3.142128353	10.86656215	0.000979161	0.032391187	
AGMAT	-1.102744428	3.379352364	10.86652198	0.000979182	0.032391187	
LOC518134	1.140580683	3.99254454	10.86268511	0.000981213	0.032391187	
DERA	-0.527840828	5.832726344	10.85130189	0.000987263	0.032517003	
PLIN2	-0.795728957	5.666989699	10.81751463	0.001005444	0.032981455	
STAB1	1.003471663	4.393878176	10.81582226	0.001006363	0.032981455	
LOC101903632	1.133600518	1.985578524	10.81045524	0.001009285	0.032981455	
TM6SF2	-2.26952293	-1.229268972	10.80832405	0.001010447	0.032981455	
CTSH	-0.674511243	8.020979182	10.79059661	0.00102017	0.033127177	
LOC107132408	4.60929061	-0.857749831	10.7903418	0.00102031	0.033127177	
PPM1E	-1.007319683	2.099896107	10.7877248	0.001021754	0.033127177	
LOC104975694	0.756449039	5.263196132	10.75992662	0.001037215	0.033553557	
LURAP1	0.840403575	4.165066507	10.74947455	0.001043089	0.033668605	
FARSA	-0.442734836	5.127227441	10.73957956	0.001048682	0.033743442	
C23H6orf141	-0.934508743	2.879843204	10.73715915	0.001050054	0.033743442	
CYP2J2	1.281398215	3.716973307	10.72261593	0.001058339	0.033882524	
RAF1	0.61015451	8.405971128	10.72137828	0.001059048	0.033882524	
DUSP22	0.614215055	4.109881347	10.71663735	0.001061765	0.033894792	
MTMR12	0.468388889	4.984336215	10.69402389	0.001074822	0.034128263	
GM2A	0.698099091	5.079973539	10.68995357	0.001077189	0.034128263	
JAML	0.691863143	7.792134109	10.68817902	0.001078223	0.034128263	
TRAFD1	-0.460466993	6.847974209	10.68663989	0.00107912	0.034128263	
MGAM	1.330623258	3.593189565	10.68371779	0.001080826	0.034128263	
FCER1A	1.30128487	2.611052679	10.67923925	0.001083446	0.034136777	
CUBN	1.356904839	1.557207428	10.67363529	0.001086733	0.034166238	
MCM8	0.634392922	3.837988533	10.58354332	0.001140988	0.035733089	
FOXO4	0.470830304	4.995234788	10.58272828	0.001141491	0.035733089	
MPP2	-1.41161155	0.222057778	10.57625734	0.001145493	0.03578127	
LMNB1	-0.543337904	6.678382836	10.54976671	0.001162028	0.036135437	
PRDM16	1.279040637	3.158770917	10.54663247	0.001164	0.036135437	
LTBR	-0.805696929	4.393457136	10.54616363	0.001164295	0.036135437	
JMJD1C	0.588825303	8.198058363	10.53821519	0.001169313	0.036167307	
LOC508441	2.243376073	1.067494718	10.53665268	0.001170302	0.036167307	
ZNF8	-0.78829135	5.293227199	10.53021938	0.001174383	0.036216367	
LOC107133300	3.150408528	-0.163809881	10.50187379	0.001192535	0.036475265	
EMID1	0.920309503	4.903145739	10.4981702	0.001194928	0.036475265	
LOC509972	1.079746624	8.801803644	10.49567312	0.001196544	0.036475265	
ASGR2	-1.767753769	0.337161551	10.49515206	0.001196882	0.036475265	
C1QB	-1.078960983	5.505883444	10.4943386	0.001197409	0.036475265	
LOC101905381	1.79901413	0.208589285	10.49126471	0.001199402	0.036475265	
COX5A	-0.573777637	6.490112867	10.48979577	0.001200356	0.036475265	
HSPA12B	0.974210101	1.0111571	10.47692132	0.00120875	0.036653645	
LOC782367	-1.392007516	3.419289333	10.47290888	0.001211378	0.036656812	
NR1H3	-0.908772975	4.812389096	10.46480003	0.001216707	0.036662786	
FGD1	0.943292064	2.172579388	10.46446687	0.001216927	0.036662786	
MAOA	0.682649101	4.482040842	10.46109776	0.001219148	0.036662786	
C8H8orf58	2.222581275	-0.542142399	10.43177375	0.001238657	0.037172514	
RELL1	0.543011726	4.109613372	10.41992564	0.001246629	0.037334615	
SULT2B1	3.040057703	-0.896681219	10.41489894	0.001250027	0.037359345	
HSPE1	-0.632019644	6.213371231	10.40933173	0.001253801	0.037395197	
SRSF5	0.537967224	8.647221078	10.37819965	0.00127512	0.037901413	
LOC104972309	1.548102734	2.385034893	10.37693637	0.001275992	0.037901413	
MDH2	-0.431149922	6.627844419	10.37255161	0.001279027	0.037914001	
DNAJA1	-0.474114396	7.060795823	10.34389768	0.001299034	0.038428659	
CLEC1A	1.610485967	1.508182443	10.3283323	0.001310035	0.03862079	
SLC36A1	0.491492699	5.8459678	10.32555719	0.001312006	0.03862079	
CD83	-0.759973564	4.154375411	10.32344938	0.001313506	0.03862079	
STX2	-0.708753529	6.276796708	10.30012021	0.001330215	0.039033089	
HS3ST6	1.401758058	0.352716947	10.28827908	0.001338779	0.039205169	
LOC100847738	-2.860116549	1.312110147	10.28082135	0.001344201	0.039284746	
LOC539533	0.533064861	6.444218582	10.27044512	0.001351782	0.039426971	
PNPLA8	-0.480287079	5.299506497	10.25471417	0.001363358	0.03965912	
PKNOX1	0.483525152	4.28997682	10.24987341	0.00136694	0.03965912	
TET1	0.88617438	3.739392883	10.24853428	0.001367932	0.03965912	
TRIM14	-0.472477287	5.423404134	10.23883597	0.001375143	0.03978876	
TMCO1	-0.398864672	5.20802196	10.21429944	0.001393559	0.040241446	
ZFP37	0.998842413	1.736346583	10.20238238	0.001402593	0.040421962	
SLC44A1	-0.37270793	5.675793156	10.19856678	0.001405498	0.040425476	
LOC100848492	0.634744	3.894239607	10.19331889	0.001409504	0.040430864	
LOC104973119	-1.890341565	-0.229272549	10.1910323	0.001411253	0.040430864	
OLFM4	1.308648701	1.142645009	10.18531432	0.001415636	0.040447795	
CD40	-0.609630056	5.790747873	10.18300067	0.001417413	0.040447795	
LOC101904864	1.311525735	0.148140437	10.17766957	0.001421517	0.040485371	
LOC107133304	1.120212618	2.62997246	10.17031302	0.0014272	0.040567683	
PTPRS	0.677787282	3.890499545	10.15320672	0.001440505	0.040865875	
GPHN	-0.761269475	4.302751857	10.14657481	0.001445696	0.040933208	
LOC101907567	1.981713818	4.435591379	10.14117418	0.001449938	0.040973436	
DEDD2	0.715718452	6.88334292	10.12622375	0.001461746	0.041226907	
LOC100336807	-0.582250201	4.221541396	10.1218459	0.001465222	0.041244858	
TTYH3	-0.539385506	6.156870127	10.11698765	0.001469089	0.041264238	
GJA10	-1.578021876	3.494379481	10.11339273	0.001471957	0.041264238	
BFSP2	-0.754314469	3.500423916	10.11029575	0.001474433	0.041264238	
AXL	-1.341578559	2.312338981	10.10509345	0.001478601	0.041301305	
PM20D2	1.324085177	3.07772033	10.0900286	0.001490738	0.0415604	
B3GALNT2	-0.972186894	2.094082601	10.08469461	0.001495059	0.041582959	
PLP2	0.534159784	6.454462748	10.08196861	0.001497273	0.041582959	
TGFBR3	0.579104358	4.310019067	10.0488555	0.001524426	0.04225628	
LOC107131397	-1.752071921	2.759492736	10.03991081	0.001531846	0.042325782	
LRRC32	1.308374972	1.188847074	10.03760889	0.001533762	0.042325782	
C28H10orf105	1.077692781	4.239218044	10.03375552	0.001536974	0.042325782	
ARHGAP5	-0.901956849	3.275998881	10.0318198	0.00153859	0.042325782	
SOX13	0.85890193	7.19278241	10.01027012	0.001556697	0.042590368	
GPR15	0.629848656	4.267881472	10.00875122	0.001557981	0.042590368	
LOC618787	1.386594614	1.564249876	10.00873679	0.001557993	0.042590368	
LOC100140174	-2.395268688	1.134194709	10.00644158	0.001559936	0.042590368	
L3MBTL3	-0.437684504	5.127073983	10.00047472	0.001564999	0.042648419	
KCTD12	0.689482891	8.996131776	9.993286961	0.001571119	0.042707542	
PLIN3	0.606308849	3.61431604	9.991026531	0.001573049	0.042707542	
PLEKHG1	-1.225039129	2.170242899	9.97838507	0.001583885	0.042856795	
HR	1.001839684	1.546162047	9.977334869	0.001584789	0.042856795	
GEN1	0.751176307	5.100102965	9.974306229	0.001587398	0.042856795	
PFN2	2.314943174	1.269153244	9.963298905	0.001596917	0.042984716	
TLR5	-1.149605008	2.931022586	9.961958757	0.001598079	0.042984716	
FMO2	2.48351165	-0.428899693	9.953568571	0.001605379	0.042984716	
TNFSF9	-0.786411404	2.86675507	9.952168403	0.0016066	0.042984716	
ARHGAP32	-1.862897687	0.140884197	9.951787504	0.001606933	0.042984716	
IL1R2	1.280050891	2.768161358	9.911834128	0.001642194	0.043847178	
ABCA13	1.978922901	-0.171734686	9.900749252	0.001652115	0.044024987	
PTPRF	0.751895077	4.981351852	9.897632769	0.001654915	0.044024987	
ADPGK	-0.406112856	5.066257155	9.892849137	0.001659223	0.044058885	
CALCOCO2	-0.450635537	7.36427718	9.884498739	0.001666769	0.044129007	
PFKFB3	0.673926885	7.644945165	9.88320707	0.00166794	0.044129007	
B3GNT3	0.709311044	5.170648031	9.875003252	0.001675393	0.044245606	
HPCAL4	1.591972009	-0.157033214	9.869290762	0.001680603	0.044302642	
EFHC2	1.32319695	0.424914445	9.862296272	0.001687004	0.044390824	
FCGR1A	-1.689428545	-0.879458165	9.815865579	0.001730128	0.045443243	
SH3PXD2A	-0.877904674	2.694899718	9.798603841	0.001746444	0.045772462	
BPNT1	-0.446053314	5.124854668	9.795951425	0.001748965	0.045772462	
EFR3B	1.114730016	1.521150198	9.72318484	0.001819579	0.047534874	
LOC786798	-0.949762752	1.20017472	9.719126509	0.001823602	0.047554424	
SCIN	-1.001809889	3.635300893	9.701636451	0.00184104	0.047861654	
VDAC1	-0.457354883	6.258446572	9.70070486	0.001841973	0.047861654	
HHLA2	-2.572606124	0.990236339	9.680665584	0.001862172	0.048300076	
LOC104975044	1.133297962	0.929260958	9.652001443	0.001891454	0.048815152	
LOC101902838	-1.854549728	3.189604983	9.651906653	0.001891551	0.048815152	
LAMA4	1.113040868	4.569183726	9.651362139	0.001892112	0.048815152	
NMRK1	0.586722552	3.842621549	9.638172563	0.001905747	0.049079755	
FAM188A	-1.507132292	9.410700764	9.614804647	0.00193015	0.049510138	
NCKAP5L	0.586441589	4.128235615	9.612342053	0.00193274	0.049510138	
ITGAD	0.828657268	4.05045155	9.609661667	0.001935563	0.049510138	
POLR1D	-0.549201428	5.646704114	9.608470951	0.001936818	0.049510138	
CYTH3	0.529780581	4.617563051	9.605928247	0.001939502	0.049510138	
LOC506181	1.276404043	0.794128049	9.60224425	0.001943397	0.049513123	
LOC101907926	1.107971296	1.212915216	9.599374427	0.001946437	0.049513123	
LOC107132710	-0.537022755	4.310551124	9.585066639	0.001961663	0.049813213	
LOC100295883	0.902776535	3.981959415	9.578299956	0.001968906	0.049909887	
P2RY1	-0.880355746	5.1008191	9.573224372	0.001974357	0.049960867	
